ID	STRUCTURE	FREQUENCY	Beijing	Changsha	Chengdu	Guangzhou	Guixian	Hangzhou	Hefei	Jinan	Kunming	Meixian	Nanchang	Shanghai	Shexian	Taiyuan	Xiamen	COGNATESETS	CONCEPTS
13-3	V	3	ʅ	ʅ	ɿ	ɐ	ɿ	ə	ə	ʅ	ʅ	ə	ɨ	ə	i	ə	a	472:1, 720:1, 510:1	eleven / forefinger / ten
132-2	V	2	ʅ	ʅ	ɿ	y	ɿ	y	ə	ʅ	ʅ	u	-	Ø	u	ə	Ø	177:1, 396:5	fingernail / sweet potato
138-2	V	2	ʅ	ɿ	ɿ	Ø	ɿ	ɿ	Ø	ɿ	Ø	ɿ	ɿ	ɿ	ɿ	ɿ	Ø	645:4, 659:1	cook / self
291-1	V	1	ʅ	ʅ	Ø	i	Ø	Ø	ə	ʅ	ə	i	i	ɪ	i	Ø	i	225:2	sun
371-1	V	1	ʅ	ʅ	ɿ	i	ɿ	ə	ə	ʅ	ʅ	a	ɨ	ə	i	Ø	i	551:1	only
455-1	V	1	ʅ	ʅ	-	i	ɿ	ɿ	Ø	ʅ	ʅ	-	Ø	ɿ	Ø	ə	-	763:5	forefinger
485-1	V	1	ʅ	Ø	ɿ	ɐ	Ø	-	Ø	Ø	Ø	i	Ø	ə	Ø	Ø	i	831:6	sunflower
72-12	V	12	ɿ	ɿ	ɿ	i	ɿ	ɿ	ə	ɿ	ɿ	i	ɿ	ɿ	a	ə	Ø	3:1, 5:5, 160:5, 301:4, 371:10, 372:6, 438:4, 487:4, 526:5, 652:4, 734:9, 843:5	beggar / boy / chopsticks / die / house / mouse / neck / nose / son / spoon / table / wheat / window
52-2	V	2	ɿ	ɿ	ɿ	e	ɿ	ɿ	ɿ	ɿ	ɿ	i	ɿ	ɿ	ɿ	ɿ	i	136:1, 845:1	fat / four
352-1	V	1	ɿ	Ø	ɿ	Ø	ɿ	Ø	ə	ʅ	ɿ	ɿ	Ø	ɿ	Ø	ə	i	502:4	cook
434-1	V	1	ɿ	Ø	ɿ	Ø	Ø	Ø	ə	-	ɿ	Ø	Ø	Ø	Ø	ə	Ø	712:9	beggar
159-5	V	5	ɤ	o	o	ɔ	o	o	Ø	ə	ə	o	ɔ	o	ɔ	ɤ	o	95:5, 143:1, 144:1, 333:1, 392:4	and / forehead / how / rain / snow
450-1	V	1	ɤ	e	e	i	ɛ	ə	ɐ	ə	ə	a	ɛ	ɪ	e	a	a	748:1	hot
461-1	V	1	ɤ	Ø	ə	Ø	Ø	Ø	Ø	ə	Ø	Ø	Ø	Ø	Ø	a	Ø	764:1	here
67-3	V	3	ɛ	e	e	y	ɛ	ə	ɐ	ə	ɛ	e	ɵ	ɪ	e	ə	e	144:6, 191:6, 602:1	moon / snow
208-2	V	2	ɛ	e	e	u	ɛ	Ø	ɐ	ə	ɛ	-	Ø	a	Ø	Ø	Ø	289:2, 452:5	father / old man
404-1	V	1	ɛ	Ø	e	i	ɛ	ə	i	Ø	ɛ	a	ɛ	ɪ	Ø	Ø	a	646:2	freeze
198-6	V	6	ə	i	i	ɐ	ɛ	i	ə	i	Ø	Ø	Ø	i	ɛ	ə	e	42:5, 711:4, 382:12, 389:1, 550:9, 811:6	beggar / husband / man / rooster / wheat / wife / woman
80-4	V	4	ə	ə	ə	ɐ	e	e	ə	ẽ	ə̃	i	ɛ	i	ʌ̃	ə	Ø	8:4, 468:4, 642:4, 772:1	and / husband / man / wife / woman
255-3	V	3	ə	Ø	-	Ø	-	ɔ	ə	ə	Ø	e	ɛu	ɔ	ɔ	Ø	ã	3:4, 358:1, 496:2	classifier (pillow) / die / how
28-2	V	2	ə	o	o	o	Ø	o	ə	ə	o	u	u	o	ʌ̃	Ø	ɔ	273:5, 747:4	blow / catch a cold
40-2	V	2	ə	o	o	Ø	o	o	o	ə	ə	Ø	o	Ø	o	ɤ	Ø	587:4, 795:4	that / what kind of / who
93-2	V	2	ə	ə	ə	Ø	e	e	ə	ə	ə̃	Ø	ɑ	ã	ɛ	ə	i	221:1, 759:5	cold / spoon
130-2	V	2	ə	Ø	ə	u	Ø	e	ɑ̃	ə	Ø	a	ɨ	ə	Ø	ə	ã	367:1, 462:5	just right / right / window
188-2	V	2	ə	Ø	o	Ø	e	o	Ø	ə	o	Ø	Ø	o	ɛ	ə	ĩ	232:5, 239:5	blow / doctor
202-2	V	2	ə	Ø	o	-	o	Ø	Ø	ə	ə	Ø	-	ɤ	u	Ø	Ø	560:5, 883:4	knee / leg / this / under
231-2	V	2	ə	Ø	o	Ø	ə	Ø	ʊ	-	ə	Ø	ɛ	Ø	o	Ø	Ø	193:5, 539:7	become sick
252-2	V	2	ə	Ø	Ø	-	Ø	Ø	Ø	u	u	Ø	Ø	Ø	ʌ̃	ə	Ø	507:4, 699:5	cold / freeze / wife
270-1	V	1	ə	ə	ə	i	ɚ	ə	a	ə	ə	i	ɵ	i	a	ə	i	92:0	two
302-1	V	1	ə	ə	ə	i	ɚ	ə	a	ə	ə	o	ɵ	i	a	ə	-	306:0	twenty / two / two ounces
379-1	V	1	ə	ə	Ø	u	e	e	ə	Ø	ə̃	Ø	ɨ	Ø	Ø	Ø	Ø	564:1	doorsills
424-1	V	1	ə	ə	ə	i	ɚ	ə	Ø	ə	ə	i	ɵ	i	ɛ	ə	Ø	683:3	second
445-1	V	1	ə	ə	ə	ɐ	e	e	ə	Ø	ə̃	e	ɛ	ã	Ø	ə	i	737:3	doctor
502-1	V	1	ə	Ø	e	Ø	ɿ	Ø	Ø	ə	ʅ	Ø	Ø	Ø	Ø	Ø	Ø	883:1	this
155-11	V	11	ɑ	a	a	ɔ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ɑ̃	o	ɒ̃	a	5:1, 19:1, 124:1, 129:2, 181:1, 184:7, 231:1, 372:2, 494:4, 550:1, 861:1	dirty / fat / hail / house / husband / kitchen / moon / on / window
232-11	V	11	ɑ	a	a	ɔ	a	ɔ	ɑ̃	ɔ	ɔ	Ø	ɔ	-	ɔ	a	Ø	49:1, 61:1, 305:1, 371:2, 382:1, 408:2, 438:1, 526:2, 605:1, 641:1, 759:2	and / beggar / boy / breakfast / chicken / instead of / kitchen / mouse / old man / son / spoon
11-7	V	7	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ã	a	ɒ̃	-	78:2, 300:2, 449:2, 517:1, 602:5, 664:1, 893:1	bedbug / daughter / doctor / girl / just right / long / moon / mother / soya sauce / well smelling
99-5	V	5	ɑ	a	a	o	a	ɔ	ɔ	ɔ	ɔ	a	ɑ	ɔ	ɔ	a	ɔ	260:4, 465:1, 539:4, 664:5, 797:1	become sick / breakfast / catch a cold / husband / just right / lunch
92-4	V	4	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ɑ̃	a	ɒ̃	Ø	249:1, 273:1, 406:1, 462:1	catch a cold / in the middle / on / window
256-3	V	3	ɑ	Ø	-	Ø	a	ɑ	ɐ	ɔ	ə	Ø	ɔ	o	Ø	a	Ø	160:1, 371:7, 392:7	beggar / how / spoon
156-2	V	2	ɑ	a	a	o	a	ɔ	Ø	a	ɔ	Ø	ɔ	ɔ	ɔ	Ø	a	321:4, 556:1	bedbug / hail
161-2	V	2	ɑ	u	a	a	a	u	Ø	-	Ø	Ø	u	u	u	a	ɔ	219:1, 382:4	beggar / classifier (vehicle)
250-2	V	2	ɑ	Ø	Ø	Ø	Ø	Ø	ɑ̃	ã	Ø	Ø	Ø	Ø	ɛ	e	ũ	358:5, 840:2	how / salt
306-1	V	1	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	o	ɔ	ã	i	ɒ̃	-	306:4	twenty / two / two ounces
325-1	V	1	ɑ	a	a	o	a	ɔ	Ø	ɔ	ɔ	a	ɑ	ɔ	Ø	a	o	383:1	nurse
344-1	V	1	ɑ	a	a	œ	a	ɑ	ɑ̃	a	ã̱	Ø	i	ã	a	ɒ̃	ɔ	456:5	sun
364-1	V	1	ɑ	a	a	o	a	ɔ	ɔ	ɔ	ɔ	a	ɑ	-	-	a	Ø	548:1	father / mother / mouse / old man / sun / wife
432-1	V	1	ɑ	Ø	a	Ø	Ø	Ø	ɔ	ɔ	-	Ø	Ø	Ø	Ø	a	Ø	712:2	beggar
463-1	V	1	ɑ	a	o	o	a	Ø	ɑ̃	a	ã̱	Ø	ɔ	Ø	a	ɒ̃	i	765:1	rainbow
470-1	V	1	ɑ	Ø	-	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	ɒ̃	Ø	787:1	lunch
480-1	V	1	ɑ	o	ə	œ	o	Ø	Ø	ə	o	Ø	ɔ	a	ɔ	a	Ø	816:5	sparrow
190-3	V	3	Ø	a	a	a	a	ɔ	ɔ	a	ə	a	ɑ	ɔ	ɔ	a	a	73:1, 217:1, 466:1	boy / father / left hand / on / there / wheat
197-3	V	3	Ø	a	a	a	a	ẽ̞	ɪ̃	ɛ	ɛ̃	a	o	i	e	a	Ø	71:6, 302:1, 320:1	chimney / here / in the middle / what kind of / where
245-3	V	3	Ø	a	a	y	a	ɑ	ɔ	ɔ	ɔ	a	ɵ	ɪ	i	Ø	Ø	184:2, 650:2, 660:1	classifier (cow) / moon / nose
129-2	V	2	Ø	ɿ	ɿ	-	ɿ	ɔ	ə	Ø	Ø	e	ɿ	ɿ	-	-	Ø	218:4, 302:12	here / humpback / what kind of / where
141-2	V	2	Ø	a	a	ɐ	a	ẽ̞	æ̃	ã	Ø	Ø	ɵ	ø	-	æ̃	a	260:1, 408:5	catch a cold / spoon
177-2	V	2	Ø	i	i	i	ɿ	ɑ	ɿ	i	ɿ	Ø	i	o	Ø	i	e	426:1, 503:1	self / under
192-2	V	2	Ø	i	-	ɐ	Ø	Ø	Ø	Ø	ə	i	i	e	Ø	ə	i	230:1, 256:5	thunder (verb) / today
207-2	V	2	Ø	ʅ	i	ɐ	i	Ø	Ø	ẽ	ʅ	i	i	Ø	Ø	ə	i	230:5, 733:1	today
240-2	V	2	Ø	a	Ø	Ø	Ø	ɑ	Ø	a	a̱	Ø	Ø	a	a	ə	Ø	390:1, 498:1	and / there
269-1	V	1	Ø	o	o	Ø	a	i	Ø	Ø	ã̱	Ø	o	Ø	o	Ø	Ø	90:4	chicken / wife
284-1	V	1	Ø	Ø	a	a	a	e	ɿ	a	Ø	a	ɑ	Ø	ɛ	Ø	e	217:4	boy / father / left hand / wheat
309-1	V	1	Ø	e	e	ɐ	o	ə	ə	e	ə	e	o	e	o	a	e	307:1	classifier (person)
316-1	V	1	Ø	-	e	-	ɛ	ə	ɐ	Ø	ə	-	ɛ	Ø	Ø	Ø	Ø	336:1	fingernail / knee
317-1	V	1	Ø	i	i	ɐ	i	o	ə	Ø	i	i	i	Ø	Ø	Ø	Ø	336:4	fingernail / knee
337-1	V	1	Ø	Ø	əu	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	əu	Ø	434:4	right
356-1	V	1	Ø	a	a	Ø	Ø	i	a	a	Ø	Ø	ɑ	i	Ø	a	e	503:4	under
384-1	V	1	Ø	Ø	ə	Ø	Ø	Ø	Ø	ẽ	Ø	Ø	Ø	ə	ʌ̃	Ø	Ø	595:1	doorsills
